age_CE	trsgi	numsamp
1319	0.893	10
1320	0.994	10
1321	0.797	10
1322	0.973	10
1323	1.173	10
1324	0.965	10
1325	0.924	10
1326	1.105	10
1327	1.214	10
1328	1.098	10
1329	0.795	10
1330	1.076	10
1331	0.958	10
1332	0.751	10
1333	0.891	10
1334	0.758	10
1335	0.869	10
1336	0.927	10
1337	0.826	10
1338	0.949	10
1339	1.02	10
1340	0.9	10
1341	0.967	10
1342	0.872	10
1343	1.043	10
1344	0.931	10
1345	0.963	10
1346	0.782	10
1347	0.837	10
1348	0.837	10
1349	0.941	10
1350	0.764	10
1351	0.938	10
1352	0.867	10
1353	0.814	10
1354	0.951	10
1355	1.072	11
1356	0.977	11
1357	1.007	11
1358	1.156	11
1359	0.935	11
1360	0.886	11
1361	0.69	11
1362	1.022	11
1363	0.94	11
1364	1.01	11
1365	1.063	11
1366	0.956	11
1367	1.071	11
1368	1.194	11
1369	1.259	11
1370	0.944	11
1371	0.995	11
1372	1.055	11
1373	0.986	11
1374	1.055	11
1375	0.941	11
1376	0.909	11
1377	1.153	11
1378	0.977	11
1379	0.874	11
1380	1.139	11
1381	1.2	11
1382	1.057	11
1383	1.225	11
1384	1.025	11
1385	0.713	11
1386	0.711	11
1387	0.89	11
1388	0.753	11
1389	0.812	11
1390	0.881	11
1391	0.626	11
1392	0.594	12
1393	0.729	12
1394	0.764	12
1395	0.782	12
1396	0.694	12
1397	0.726	12
1398	0.852	12
1399	0.623	12
1400	0.784	12
1401	0.975	12
1402	0.937	12
1403	0.898	12
1404	0.76	13
1405	0.883	13
1406	0.815	13
1407	1.116	13
1408	1.075	13
1409	1.004	13
1410	1.149	13
1411	1.171	13
1412	0.781	13
1413	0.914	13
1414	0.787	13
1415	0.904	13
1416	0.721	13
1417	0.777	13
1418	0.851	13
1419	0.936	13
1420	0.885	13
1421	0.734	13
1422	0.79	13
1423	0.948	13
1424	0.682	13
1425	0.619	13
1426	0.839	13
1427	0.792	13
1428	0.851	13
1429	0.935	13
1430	0.76	13
1431	0.673	13
1432	0.891	13
1433	1.085	13
1434	0.919	13
1435	0.796	13
1436	0.647	13
1437	0.763	13
1438	0.696	13
1439	0.773	13
1440	1.021	13
1441	0.777	13
1442	0.886	13
1443	1.016	13
1444	1.145	13
1445	1.217	13
1446	1.091	13
1447	0.871	14
1448	1.09	14
1449	1.207	14
1450	1.274	14
1451	1.215	14
1452	1.031	14
1453	1.089	14
1454	1.138	14
